Date,Open,High,Low,Close,Volume,Market Cap
"Feb 25, 2019","0,425133","0,438305","0,423494","0,43043",3.388.040,261.481.246
"Feb 24, 2019","0,450847","0,462148","0,425359","0,425359",3.448.860,258.400.841
"Feb 23, 2019","0,446159","0,45794","0,440656","0,451031",3.987.855,273.996.489
"Feb 22, 2019","0,438034","0,451751","0,437903","0,44646",3.525.863,271.219.483
"Feb 21, 2019","0,463576","0,464355","0,437685","0,438406",2.258.275,266.327.091
"Feb 20, 2019","0,452018","0,464426","0,44358","0,463852",1.901.814,281.785.061
"Feb 19, 2019","0,454115","0,463598","0,445682","0,451244",2.570.898,274.125.632
"Feb 18, 2019","0,436952","0,462751","0,436246","0,453744",2.812.974,275.644.676
"Feb 17, 2019","0,435458","0,446393","0,432987","0,436943",1.865.190,265.438.343
"Feb 16, 2019","0,448717","0,461859","0,426479","0,433065",2.263.298,263.081.992
"Feb 15, 2019","0,411767","0,454976","0,411618","0,448514",2.579.809,272.467.401
"Feb 14, 2019","0,394803","0,412129","0,394374","0,411214",2.417.774,249.808.271
"Feb 13, 2019","0,389754","0,39645","0,387506","0,394754",1.872.066,239.808.548
"Feb 12, 2019","0,383783","0,390428","0,380362","0,389957",2.423.798,236.894.597
"Feb 11, 2019","0,379033","0,386443","0,37869","0,383347",2.666.256,232.878.819
"Feb 10, 2019","0,379457","0,380715","0,374386","0,379014",2.737.184,230.246.635
"Feb 09, 2019","0,388303","0,397692","0,378386","0,37975",1.639.116,230.693.936
"Feb 08, 2019","0,364471","0,388219","0,359823","0,387649",3.215.684,235.492.797
"Feb 07, 2019","0,367889","0,370001","0,362385","0,363864",931.032,221.043.271
"Feb 06, 2019","0,371413","0,375526","0,365713","0,367485",5.215.259,223.243.062
"Feb 05, 2019","0,369666","0,374384","0,367595","0,37149",2.195.289,225.676.110
"Feb 04, 2019","0,373589","0,375107","0,36791","0,369976",9.201.165,224.756.073
"Feb 03, 2019","0,38069","0,382937","0,373","0,37365",3.472.421,226.988.236
"Feb 02, 2019","0,382092","0,383219","0,377294","0,381045",1.902.184,231.480.460
"Feb 01, 2019","0,379172","0,383738","0,375959","0,382546",3.983.833,232.392.407
"jan. 31, 2019","0,37909","0,380596","0,371987","0,378969",2.498.650,230.219.585
"jan. 30, 2019","0,372874","0,379684","0,369705","0,379684",2.950.624,230.654.150
"jan. 29, 2019","0,378462","0,381507","0,366635","0,372959",2.254.263,226.568.540
"jan. 28, 2019","0,402109","0,404839","0,376584","0,378758",2.637.806,230.091.268
"jan. 27, 2019","0,410914","0,410914","0,39898","0,402173",1.631.404,244.315.648
"jan. 26, 2019","0,414973","0,418771","0,410362","0,410441",1.336.560,249.338.320
"jan. 25, 2019","0,42003","0,423538","0,412769","0,41486",1.335.099,252.022.887
"jan. 24, 2019","0,421965","0,425025","0,41328","0,419585",1.166.729,254.893.227
"jan. 23, 2019","0,423875","0,425347","0,412962","0,425347",803.176,258.393.550
"jan. 22, 2019","0,423228","0,428462","0,41545","0,42389",921.641,257.508.560
"jan. 21, 2019","0,428368","0,433852","0,421142","0,423494",1.106.419,257.267.880
"jan. 20, 2019","0,437249","0,441715","0,425371","0,428458",573.281,260.283.695
"jan. 19, 2019","0,437163","0,448603","0,429505","0,437358",573.952,265.690.163
"jan. 18, 2019","0,427171","0,438167","0,425441","0,437198",486.342,265.593.204
"jan. 17, 2019","0,424462","0,429829","0,423521","0,427025",472.249,259.413.304
"jan. 16, 2019","0,407576","0,434913","0,406323","0,424904",514.023,258.124.771
"jan. 15, 2019","0,416456","0,421703","0,403261","0,407958",551.739,247.829.979
"jan. 14, 2019","0,394865","0,424854","0,394186","0,416643",479.148,253.106.093
"jan. 13, 2019","0,424971","0,42918","0,387247","0,394705",709.305,239.778.739
"jan. 12, 2019","0,450424","0,451772","0,419879","0,424779",654.672,258.048.387
"jan. 11, 2019","0,453509","0,458224","0,447388","0,449763",559.924,273.226.269
"jan. 10, 2019","0,496456","0,505463","0,447318","0,452833",766.981,275.090.901
"jan. 09, 2019","0,485136","0,496549","0,482961","0,495942",841.152,301.279.460
"jan. 08, 2019","0,48154","0,488163","0,48124","0,484993",3.420.650,294.627.647
"jan. 07, 2019","0,484425","0,484577","0,481211","0,481431",3.489.123,292.464.195
"jan. 06, 2019","0,48321","0,484676","0,482381","0,484338",3.190.480,294.229.729
"jan. 05, 2019","0,482952","0,484049","0,482907","0,483224",3.193.352,293.553.472
"jan. 04, 2019","0,482141","0,483708","0,481659","0,483029",3.284.328,293.434.817
"jan. 03, 2019","0,485028","0,485149","0,481733","0,482134",3.296.793,292.890.866
"jan. 02, 2019","0,475336","0,485825","0,463116","0,485319",3.754.443,294.826.017
"jan. 01, 2019","0,463073","0,482144","0,460394","0,474699",714.132,288.374.540
"Dec 31, 2018","0,498466","0,499458","0,461969","0,462627",955.456,281.040.876
"Dec 30, 2018","0,510078","0,510469","0,487298","0,498225",697.478,302.665.931
"Dec 29, 2018","0,509148","0,522606","0,498252","0,510319",792.592,310.013.434
"Dec 28, 2018","0,469292","0,50946","0,46034","0,508607",1.103.081,308.973.464
"Dec 27, 2018","0,524876","0,527965","0,468246","0,470754",1.082.895,285.977.669
"Dec 26, 2018","0,49511","0,534715","0,494629","0,522848",1.003.902,317.624.655
"Dec 25, 2018","0,53492","0,536564","0,488523","0,494854",1.147.199,300.618.183
"Dec 24, 2018","0,512837","0,56509","0,512837","0,533601",1.668.743,324.156.788
"Dec 23, 2018","0,468436","0,515865","0,468436","0,51308",1.535.172,311.690.199
"Dec 22, 2018","0,462401","0,469156","0,421742","0,469056",1.425.000,284.946.253
"Dec 21, 2018","0,471478","0,484255","0,444493","0,461004",6.211.060,280.055.033
"Dec 20, 2018","0,445049","0,485803","0,441226","0,471885",2.231.651,286.665.209
"Dec 19, 2018","0,438397","0,483806","0,437329","0,447585",2.234.261,271.902.941
"Dec 18, 2018","0,420291","0,437711","0,416058","0,437695",1.723.213,265.895.131
"Dec 17, 2018","0,394479","0,429835","0,390854","0,41918",1.343.785,254.647.153
"Dec 16, 2018","0,389297","0,399528","0,383438","0,394124",1.288.737,239.425.842
"Dec 15, 2018","0,374924","0,392235","0,374085","0,389047",1.220.841,236.341.665
"Dec 14, 2018","0,372047","0,382053","0,36833","0,37322",1.370.393,226.727.003
"Dec 13, 2018","0,415782","0,435705","0,371191","0,372124",2.968.587,226.061.341
"Dec 12, 2018","0,364451","0,42062","0,364451","0,416208",2.203.439,252.841.506
"Dec 11, 2018","0,361096","0,368693","0,356768","0,364371",1.307.337,221.351.450
"Dec 10, 2018","0,404754","0,404754","0,358518","0,360835",1.605.744,219.203.148
"Dec 09, 2018","0,39269","0,419261","0,392089","0,404799",1.859.805,245.911.010
"Dec 08, 2018","0,373883","0,395748","0,368221","0,394316",1.704.652,239.542.619
"Dec 07, 2018","0,345901","0,373488","0,314631","0,371269",2.227.206,225.541.698
"Dec 06, 2018","0,389922","0,391312","0,346117","0,349233",3.179.878,212.155.168
"Dec 05, 2018","0,436157","0,436502","0,38655","0,390559",2.207.202,237.260.129
"Dec 04, 2018","0,440904","0,453975","0,425122","0,435813",2.083.554,264.751.630
"Dec 03, 2018","0,491871","0,492804","0,439941","0,439967",1.819.190,267.275.397
